V4,V5,C_ALPHAN,V32
CH-Switzerland,CH-Switzerland,CH,Agree
SK-Slovak Republic,SK-Slovak Republic,SK,Strongly agree
SK-Slovak Republic,SK-Slovak Republic,SK,Strongly agree
FI-Finland,FI-Finland,FI,Strongly agree
HU-Hungary,HU-Hungary,HU,Strongly agree
IT-Italy,IT-Italy,IT,Strongly agree
PH-Philippines,PH-Philippines,PH,Agree
CY-Cyprus,CY-Cyprus,CY,Neither agree nor disagree
SE-Sweden,SE-Sweden,SE,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Disagree
TW-Taiwan,TW-Taiwan,TW,Agree
SK-Slovak Republic,SK-Slovak Republic,SK,Agree
GB-GBN-Great Britain,GB-GBN-Great Britain and/or United Kingdom,GB-GBN,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Neither agree nor disagree
DE-W-Germany-West,DE-Germany,DE-W,Agree
SE-Sweden,SE-Sweden,SE,Strongly agree
SE-Sweden,SE-Sweden,SE,Strongly agree
IL-Israel,IL-Israel,IL,Strongly agree
SE-Sweden,SE-Sweden,SE,Neither agree nor disagree
CY-Cyprus,CY-Cyprus,CY,Strongly agree
HU-Hungary,HU-Hungary,HU,Strongly agree
CY-Cyprus,CY-Cyprus,CY,Strongly agree
FR-France,FR-France,FR,Strongly agree
NO-Norway,NO-Norway,NO,Neither agree nor disagree
CH-Switzerland,CH-Switzerland,CH,Disagree
CH-Switzerland,CH-Switzerland,CH,Agree
AU-Australia,AU-Australia,AU,Neither agree nor disagree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Strongly agree
FI-Finland,FI-Finland,FI,Neither agree nor disagree
DK-Denmark,DK-Denmark,DK,Neither agree nor disagree
SK-Slovak Republic,SK-Slovak Republic,SK,Agree
TR-Turkey,TR-Turkey,TR,Strongly agree
CY-Cyprus,CY-Cyprus,CY,Disagree
SK-Slovak Republic,SK-Slovak Republic,SK,Strongly agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Strongly disagree
AU-Australia,AU-Australia,AU,Disagree
AU-Australia,AU-Australia,AU,Strongly agree
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Cant choose
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Disagree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Strongly agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Strongly agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Neither agree nor disagree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
BG-Bulgaria,BG-Bulgaria,BG,Neither agree nor disagree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
BG-Bulgaria,BG-Bulgaria,BG,Agree
BG-Bulgaria,BG-Bulgaria,BG,Agree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
BG-Bulgaria,BG-Bulgaria,BG,Agree
BG-Bulgaria,BG-Bulgaria,BG,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Neither agree nor disagree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly disagree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Disagree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Disagree
CN-China,CN-China,CN,Disagree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Neither agree nor disagree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Strongly disagree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Disagree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Neither agree nor disagree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Neither agree nor disagree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Neither agree nor disagree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Agree
CY-Cyprus,CY-Cyprus,CY,Strongly agree
CY-Cyprus,CY-Cyprus,CY,Strongly agree
CY-Cyprus,CY-Cyprus,CY,Agree
CY-Cyprus,CY-Cyprus,CY,Neither agree nor disagree
CY-Cyprus,CY-Cyprus,CY,Strongly agree
CY-Cyprus,CY-Cyprus,CY,Agree
CY-Cyprus,CY-Cyprus,CY,Disagree
CY-Cyprus,CY-Cyprus,CY,Neither agree nor disagree
CY-Cyprus,CY-Cyprus,CY,Agree
CY-Cyprus,CY-Cyprus,CY,Neither agree nor disagree
CY-Cyprus,CY-Cyprus,CY,Agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Neither agree nor disagree
CZ-Czech Republic,CZ-Czech Republic,CZ,Agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly disagree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Disagree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Disagree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Disagree
DK-Denmark,DK-Denmark,DK,Neither agree nor disagree
DK-Denmark,DK-Denmark,DK,Neither agree nor disagree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Strongly disagree
DK-Denmark,DK-Denmark,DK,Strongly agree
EE-Estonia,EE-Estonia,EE,Agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Agree
EE-Estonia,EE-Estonia,EE,Agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Neither agree nor disagree
EE-Estonia,EE-Estonia,EE,Agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Disagree
FI-Finland,FI-Finland,FI,Neither agree nor disagree
FI-Finland,FI-Finland,FI,Strongly agree
FI-Finland,FI-Finland,FI,Agree
FI-Finland,FI-Finland,FI,Strongly agree
FI-Finland,FI-Finland,FI,Neither agree nor disagree
FI-Finland,FI-Finland,FI,Disagree
FI-Finland,FI-Finland,FI,Strongly agree
FI-Finland,FI-Finland,FI,Disagree
FI-Finland,FI-Finland,FI,Strongly agree
FI-Finland,FI-Finland,FI,Neither agree nor disagree
FI-Finland,FI-Finland,FI,Agree
FI-Finland,FI-Finland,FI,Strongly agree
FI-Finland,FI-Finland,FI,Strongly agree
FI-Finland,FI-Finland,FI,Agree
FI-Finland,FI-Finland,FI,Agree
FI-Finland,FI-Finland,FI,NA
FR-France,FR-France,FR,Strongly agree
FR-France,FR-France,FR,Strongly agree
FR-France,FR-France,FR,Agree
FR-France,FR-France,FR,Neither agree nor disagree
FR-France,FR-France,FR,Strongly agree
DE-W-Germany-West,DE-Germany,DE-W,Strongly agree
DE-W-Germany-West,DE-Germany,DE-W,Strongly agree
DE-W-Germany-West,DE-Germany,DE-W,Strongly agree
DE-W-Germany-West,DE-Germany,DE-W,Strongly agree
DE-W-Germany-West,DE-Germany,DE-W,Agree
DE-W-Germany-West,DE-Germany,DE-W,Strongly agree
DE-W-Germany-West,DE-Germany,DE-W,Strongly agree
DE-W-Germany-West,DE-Germany,DE-W,Strongly agree
DE-E-Germany-East,DE-Germany,DE-E,Agree
DE-E-Germany-East,DE-Germany,DE-E,Agree
DE-E-Germany-East,DE-Germany,DE-E,Strongly agree
HU-Hungary,HU-Hungary,HU,Strongly agree
HU-Hungary,HU-Hungary,HU,Agree
HU-Hungary,HU-Hungary,HU,Strongly agree
HU-Hungary,HU-Hungary,HU,Strongly agree
HU-Hungary,HU-Hungary,HU,Agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Strongly disagree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Neither agree nor disagree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Disagree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Neither agree nor disagree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Neither agree nor disagree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Neither agree nor disagree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Neither agree nor disagree
IL-Israel,IL-Israel,IL,Disagree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Strongly agree
IL-Israel,IL-Israel,IL,Agree
IT-Italy,IT-Italy,IT,Neither agree nor disagree
IT-Italy,IT-Italy,IT,Strongly agree
IT-Italy,IT-Italy,IT,Strongly agree
IT-Italy,IT-Italy,IT,Strongly agree
IT-Italy,IT-Italy,IT,Strongly agree
JP-Japan,JP-Japan,JP,Neither agree nor disagree
JP-Japan,JP-Japan,JP,Disagree
JP-Japan,JP-Japan,JP,Neither agree nor disagree
JP-Japan,JP-Japan,JP,Strongly agree
JP-Japan,JP-Japan,JP,Neither agree nor disagree
JP-Japan,JP-Japan,JP,Strongly agree
JP-Japan,JP-Japan,JP,Agree
JP-Japan,JP-Japan,JP,Neither agree nor disagree
JP-Japan,JP-Japan,JP,Agree
JP-Japan,JP-Japan,JP,Strongly agree
JP-Japan,JP-Japan,JP,Agree
JP-Japan,JP-Japan,JP,Strongly agree
JP-Japan,JP-Japan,JP,Strongly disagree
JP-Japan,JP-Japan,JP,Agree
JP-Japan,JP-Japan,JP,Strongly disagree
JP-Japan,JP-Japan,JP,Neither agree nor disagree
JP-Japan,JP-Japan,JP,Strongly disagree
JP-Japan,JP-Japan,JP,Strongly agree
JP-Japan,JP-Japan,JP,Neither agree nor disagree
JP-Japan,JP-Japan,JP,Neither agree nor disagree
JP-Japan,JP-Japan,JP,Strongly agree
JP-Japan,JP-Japan,JP,Strongly agree
JP-Japan,JP-Japan,JP,Agree
JP-Japan,JP-Japan,JP,Agree
JP-Japan,JP-Japan,JP,Strongly disagree
JP-Japan,JP-Japan,JP,Agree
JP-Japan,JP-Japan,JP,Agree
JP-Japan,JP-Japan,JP,Agree
JP-Japan,JP-Japan,JP,Strongly agree
JP-Japan,JP-Japan,JP,Neither agree nor disagree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Agree
KR-South Korea,KR-South Korea,KR,Agree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Agree
KR-South Korea,KR-South Korea,KR,Agree
LV-Latvia,LV-Latvia,LV,Agree
LV-Latvia,LV-Latvia,LV,Agree
LV-Latvia,LV-Latvia,LV,Agree
LV-Latvia,LV-Latvia,LV,Agree
LV-Latvia,LV-Latvia,LV,Agree
LV-Latvia,LV-Latvia,LV,Strongly agree
LV-Latvia,LV-Latvia,LV,Strongly agree
LV-Latvia,LV-Latvia,LV,Agree
LV-Latvia,LV-Latvia,LV,Strongly agree
LV-Latvia,LV-Latvia,LV,Agree
LV-Latvia,LV-Latvia,LV,Agree
LV-Latvia,LV-Latvia,LV,Strongly agree
LV-Latvia,LV-Latvia,LV,Strongly agree
LV-Latvia,LV-Latvia,LV,Strongly agree
LV-Latvia,LV-Latvia,LV,Strongly agree
LV-Latvia,LV-Latvia,LV,Strongly agree
LV-Latvia,LV-Latvia,LV,Strongly agree
LV-Latvia,LV-Latvia,LV,Agree
LV-Latvia,LV-Latvia,LV,Neither agree nor disagree
LV-Latvia,LV-Latvia,LV,Neither agree nor disagree
LV-Latvia,LV-Latvia,LV,Strongly agree
LV-Latvia,LV-Latvia,LV,Strongly agree
LV-Latvia,LV-Latvia,LV,Strongly agree
LV-Latvia,LV-Latvia,LV,Neither agree nor disagree
LV-Latvia,LV-Latvia,LV,Agree
LV-Latvia,LV-Latvia,LV,Agree
LV-Latvia,LV-Latvia,LV,Agree
NZ-New Zealand,NZ-New Zealand,NZ,Agree
NZ-New Zealand,NZ-New Zealand,NZ,Agree
NZ-New Zealand,NZ-New Zealand,NZ,Disagree
NZ-New Zealand,NZ-New Zealand,NZ,Neither agree nor disagree
NZ-New Zealand,NZ-New Zealand,NZ,Strongly agree
NZ-New Zealand,NZ-New Zealand,NZ,Disagree
NZ-New Zealand,NZ-New Zealand,NZ,Agree
NZ-New Zealand,NZ-New Zealand,NZ,Agree
NO-Norway,NO-Norway,NO,Neither agree nor disagree
NO-Norway,NO-Norway,NO,Agree
NO-Norway,NO-Norway,NO,Disagree
NO-Norway,NO-Norway,NO,Agree
NO-Norway,NO-Norway,NO,Agree
NO-Norway,NO-Norway,NO,Agree
NO-Norway,NO-Norway,NO,Neither agree nor disagree
NO-Norway,NO-Norway,NO,Agree
PH-Philippines,PH-Philippines,PH,Disagree
PH-Philippines,PH-Philippines,PH,Neither agree nor disagree
PH-Philippines,PH-Philippines,PH,Strongly disagree
PH-Philippines,PH-Philippines,PH,Strongly disagree
PH-Philippines,PH-Philippines,PH,Neither agree nor disagree
PH-Philippines,PH-Philippines,PH,Strongly disagree
PH-Philippines,PH-Philippines,PH,Strongly disagree
PH-Philippines,PH-Philippines,PH,Agree
PH-Philippines,PH-Philippines,PH,Strongly agree
PH-Philippines,PH-Philippines,PH,Agree
PH-Philippines,PH-Philippines,PH,Agree
PH-Philippines,PH-Philippines,PH,Strongly agree
PH-Philippines,PH-Philippines,PH,Strongly agree
PH-Philippines,PH-Philippines,PH,Strongly disagree
PL-Poland,PL-Poland,PL,Agree
PL-Poland,PL-Poland,PL,Strongly agree
PL-Poland,PL-Poland,PL,Neither agree nor disagree
PL-Poland,PL-Poland,PL,Agree
PL-Poland,PL-Poland,PL,Agree
PL-Poland,PL-Poland,PL,Agree
PL-Poland,PL-Poland,PL,Agree
PL-Poland,PL-Poland,PL,Neither agree nor disagree
PL-Poland,PL-Poland,PL,Agree
PL-Poland,PL-Poland,PL,Strongly agree
PL-Poland,PL-Poland,PL,Neither agree nor disagree
PL-Poland,PL-Poland,PL,Agree
PL-Poland,PL-Poland,PL,Agree
PT-Portugal,PT-Portugal,PT,Strongly agree
PT-Portugal,PT-Portugal,PT,Strongly agree
PT-Portugal,PT-Portugal,PT,Agree
PT-Portugal,PT-Portugal,PT,Agree
PT-Portugal,PT-Portugal,PT,Strongly agree
PT-Portugal,PT-Portugal,PT,Agree
RU-Russia,RU-Russia,RU,Agree
RU-Russia,RU-Russia,RU,Agree
RU-Russia,RU-Russia,RU,Strongly agree
RU-Russia,RU-Russia,RU,Agree
RU-Russia,RU-Russia,RU,Strongly agree
RU-Russia,RU-Russia,RU,Strongly agree
RU-Russia,RU-Russia,RU,Strongly agree
RU-Russia,RU-Russia,RU,Strongly agree
RU-Russia,RU-Russia,RU,Agree
RU-Russia,RU-Russia,RU,Strongly agree
RU-Russia,RU-Russia,RU,Strongly agree
RU-Russia,RU-Russia,RU,Strongly agree
RU-Russia,RU-Russia,RU,Strongly agree
RU-Russia,RU-Russia,RU,Strongly agree
SK-Slovak Republic,SK-Slovak Republic,SK,Strongly agree
SK-Slovak Republic,SK-Slovak Republic,SK,Agree
SK-Slovak Republic,SK-Slovak Republic,SK,Agree
SK-Slovak Republic,SK-Slovak Republic,SK,Strongly agree
SK-Slovak Republic,SK-Slovak Republic,SK,Strongly agree
SK-Slovak Republic,SK-Slovak Republic,SK,Neither agree nor disagree
SK-Slovak Republic,SK-Slovak Republic,SK,Strongly agree
